KOI,Dur,Depth,SNR,t0,t0_unc,Period,P_unc,a/R*,a/R*_unc,r/R*,r/R*_unc,b,b_unc,Rp,a,Teq,EB prob,V,FOP,N,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Gravity (EU),P. Esc Vel (EU),P. Period (days),S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year,S. Name,S. Constellation
331.01,6.3739,327,32,103.8303,0.0047,18.68416,0.00059,22.47,0.48,0.01684,0.00034,0.012,0.01,1.1,0.134,494,0.00004,2,1,,Hot,Neptunian,gas,metals-rich,non-habitable,0.9,1.79,18.68,1.043,2.591,-2.17,2.37,-0.51,0.24,0.44,0.02,0.2,0,0,0,0,tran,2011,KOI-331,Cyg
332.01,3.8993,204,40,105.0885,0.0028,5.458491,0.0001,11.27,0.22,0.01399,0.00022,0.0377,-,1.1,0.06,841,0.000047,2,1,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.66,5.46,0.892,2.195,-2.27,0.34,-0.77,0.29,0.68,0.01,0.26,0,0,0,0,tran,2011,KOI-332,Cyg
333.01,6.0214,318,24,102.8642,0.0039,13.28468,0.00025,17.1828,0.0013,0.02,0.13,0.011,0.01,1.9,0.114,843,0.000026,2,1,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.88,13.29,1.092,2.6,-2.29,0.88,-0.52,0.28,0.57,0.01,0.24,0,0,0,0,tran,2011,KOI-333,Cyg
337.01,5.3936,298,25,110.7155,0.004,19.78404,0.00042,28.67,0.78,0.01613,0.00043,0.011,0.01,1.6,0.146,636,0.000063,3,NoObs,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.68,19.78,0.757,1.84,-2.13,0.37,-0.48,0.31,0.68,0.04,0.28,0,0,0,0,tran,2011,KOI-337,Cyg
338.01,2.94,270,27,107.5777,0.0033,7.01048,0.00016,19.24,0.66,0.01587,0.00043,0.011,0.035,2.3,0.072,940,0.000057,3,NoObs,,Hot,Jovian,gas,metals-rich,non-habitable,0.54,4.51,7.01,7.725,20.501,-2.2,32.24,-0.13,0.03,0.05,0,0.03,0,0,0,0,tran,2011,KOI-338,Cyg
339.01,2.4238,263,44,103.1393,0.0017,1.980349,0.000031,3.9,9.1,0.0175,0.0064,0.8,1.1,1.5,0.031,1319,0.000018,3,NoObs,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.62,1.98,0.903,2.172,-2.37,0.28,-0.94,0.28,0.7,0,0.26,0,0,0,0,tran,2011,KOI-339,Dra
339.02,3.1373,154,17,71.3385,0.0052,6.41681,0.00015,16.6,0.19,0.01286,0.00043,0.0625,-,1.1,0.069,884,-,4,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.69,12.83,0.903,2.172,-2.25,0.39,-0.61,0.3,0.67,0.02,0.27,0,0,0,0,tran,2011,KOI-339,Dra
340.01,14.234,19737,172,93.6222,0.0073,23.67378,0.00058,14.366,0.071,0.12942,0.00052,0.001,0.01,30.4,0.173,862,-,3,,1,Hot,Jovian,gas,metals-rich,non-habitable,0.65,3.29,23.67,0.848,2.08,-2.1,13.31,0.75,0.07,0.11,0.04,0.08,0,0,0,0,tran,2011,KOI-340,Cyg
341.01,2.9799,733,31,109.6648,0.0026,7.17068,0.00013,19.09,0.54,0.02618,0.0006,0.027,0.042,3.3,0.074,949,0.000045,2,1,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.06,1.78,14.34,0.649,1.611,-2.11,1.66,-0.43,0.27,0.5,0.03,0.23,0,0,0,0,tran,2011,KOI-341,Cyg
341.02,2.7109,276,14,110.6123,0.0054,4.69975,0.00012,14.3,0.8,0.01781,0.00077,0.011,0.046,2.3,0.056,1091,0.000057,2,1,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.36,1.47,4.7,0.649,1.611,-2.24,0.05,-0.84,0.3,0.78,0.01,0.28,0,0,0,0,tran,2011,KOI-341,Cyg
343.01,3.315,437,68,103.3364,0.0013,4.76166,0.000044,11.21,0.14,0.01969,0.0002,0.0089,-,2.2,0.057,1065,0.000029,2,NoObs,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.31,1.88,4.76,0.847,2.082,-2.28,1.14,-0.66,0.28,0.54,0,0.23,0,0,0,0,tran,2011,KOI-343,Cyg
343.02,2.4768,216,47,103.4963,0.0018,2.024138,0.000025,6.593,0.042,0.0147,0.00021,0.041,-,1.6,0.032,1421,0.000034,2,1,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.63,2.02,0.847,2.082,-2.32,0.29,-0.93,0.28,0.7,0,0.26,0,0,0,0,tran,2011,KOI-343,Cyg
344.01,5.8847,1026,70,104.3354,0.0018,39.3095,0.00054,42,49,0.0318,0.0067,0.6,1,4,0.232,564,0.00001,2,1,,Hot,Neptunian,gas,metals-rich,non-habitable,0.89,1.84,39.31,0.894,2.176,-2.04,2.61,-0.26,0.23,0.42,0.07,0.22,0,0,0,0,tran,2011,KOI-344,Dra
345.01,4.8165,1148,79,106.1889,0.0015,29.88569,0.00055,37,32,0.0351,0.0063,0.72,0.76,5.8,0.192,592,0.0000099,2,NoObs,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.28,1.87,29.89,0.39,1,-1.72,1.19,0,0.32,0.54,0.21,0.35,0,0,0,0,tran,2011,KOI-345,Dra
346.01,2.7973,911,20,103.7797,0.0045,12.92463,0.00041,36,241,0.03,0.045,0.1,3.1,3.4,0.106,684,0.00004,2,NoObs,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.85,12.92,0.462,1.172,-2.02,0.79,-0.3,0.31,0.59,0.05,0.27,0,0,0,0,tran,2011,KOI-346,Cyg
348.01,4.6221,1740,108,120.3634,0.0012,28.51109,0.00027,51.65,0.43,0.03813,0.00026,0.018,0.017,5.3,0.18,549,0.00001,2,1,,Hot,Neptunian,water-gas,metals-rich,non-habitable,1.1,1.8,28.51,0.344,0.888,-1.67,1.58,-0.04,0.3,0.51,0.24,0.36,0,0,0,0,tran,2011,KOI-348,Cyg
349.01,2.3194,536,38,103.4557,0.0019,14.38666,0.00025,51.7,1.4,0.02231,0.00044,0.028,0.04,2.8,0.119,772,0.000013,2,NoObs,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.42,1.88,14.39,0.796,1.952,-2.18,0.88,-0.43,0.29,0.57,0.02,0.25,0,0,0,0,tran,2011,KOI-349,Cyg
350.01,2.5804,366,24,110.2199,0.0027,12.99192,0.00033,22,96,0.02,0.014,0.9,1.3,2.5,0.111,810,0.000014,2,1,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.43,1.85,12.99,0.871,2.116,-2.22,0.79,-0.49,0.29,0.59,0.02,0.25,0,0,0,0,tran,2011,KOI-350,Cyg
351.01,14.4207,7703,210,73.4753,0.0012,331.6457,0.0017,190.34,0.16,0.0827,0.0064,0.011,0.035,8.5,0.966,266,0.000019,3,NoObs,,Warm,Jovian,gas,hydrogen-rich,non-habitable,0.72,2.67,331.64,0.943,2.263,-0.94,7.66,1.29,0.11,0.19,0.74,0.39,0,0,0,0,tran,2011,KOI-351,Dra
351.02,11.9806,3909,60,80.098,0.0015,210.4526,0.0021,142.4,1.6,0.05855,0.00061,0.001,0.069,6,0.713,309,-,4,,,Hot,Jovian,gas,metals-rich,non-habitable,0.78,2.34,210.6,0.943,2.263,-1.33,5.38,0.72,0.15,0.25,0.48,0.36,0,0,0,0,tran,2011,KOI-351,Dra
351.03,8.006,424,21,91.9518,0.0078,59.7389,0.0022,53,713,0.019,0.044,0.4,4,1.9,0.308,471,-,4,,,Hot,Neptunian,rocky-water,metals-rich,non-habitable,1.41,1.91,59.74,0.943,2.263,-1.96,0.98,-0.1,0.31,0.56,0.11,0.3,0,0,0,0,tran,2011,KOI-351,Dra
352.01,4.4932,362,21,124.8039,0.0049,27.08268,0.00098,28,85,0.02,0.01,0.8,1.2,2.4,0.181,621,0.000059,2,NoObs,,Hot,Superterran,rocky-water,metals-rich,non-habitable,1.44,1.79,27.08,0.851,2.069,-2.11,0.63,-0.37,0.31,0.62,0.05,0.27,0,0,0,0,tran,2011,KOI-352,Cyg
